Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
1680638400000,1868.92,1887.0,1859.21,1870.37,51123.4479,1680652799999,95700945.09213300,108817,25381.11830000,47519196.11964500,0
1680652800000,1870.38,1925.0,1864.58,1912.37,135868.4296,1680667199999,258943254.08169300,239141,71475.70290000,136182441.61387400,0
1680667200000,1912.37,1918.0,1907.19,1909.96,45967.9998,1680681599999,87865020.29255400,137874,20875.83400000,39904501.77116300,0
1680681600000,1909.96,1921.7,1903.51,1914.56,55610.8643,1680695999999,106306992.69748200,146839,27396.08490000,52370491.45097400,0
1680696000000,1914.56,1942.98,1882.31,1897.2,192505.1866,1680710399999,366957846.82175500,325728,100778.86760000,192131365.03584400,0
1680710400000,1897.21,1918.0,1887.55,1909.19,80617.8353,1680724799999,153166386.45097400,142676,41309.09830000,78492619.38771800,0
1680724800000,1909.18,1915.36,1903.0,1908.69,38025.1999,1680739199999,72607331.44710500,84773,19503.13730000,37239216.67519200,0
1680739200000,1908.68,1909.91,1885.95,1898.88,62961.2326,1680753599999,119413564.59422700,134364,27930.73960000,52976229.92862000,0
1680753600000,1898.87,1898.88,1876.54,1879.22,56845.6045,1680767999999,107312715.04668200,148823,27783.42080000,52451561.15377000,0
1680768000000,1879.22,1885.5,1853.7,1868.68,93882.6832,1680782399999,175516404.80966700,198164,44384.62490000,82995554.27947600,0
1680782400000,1868.68,1878.67,1854.66,1874.55,94411.9425,1680796799999,176294528.34627700,204842,46312.05210000,86489116.71938200,0
1680796800000,1874.54,1882.99,1865.99,1871.29,53952.4454,1680811199999,101180066.19774200,128618,25969.44470000,48697181.29815400,0
1680811200000,1871.3,1879.22,1860.0,1872.41,34187.527,1680825599999,63901021.02940500,101877,17954.61570000,33557841.97303400,0
1680825600000,1872.41,1882.61,1866.0,1876.73,42006.657,1680839999999,78780781.02831300,114504,22014.80720000,41292477.12587200,0
1680840000000,1876.73,1879.0,1841.46,1850.79,64554.7687,1680854399999,120245515.17244900,166709,29159.80180000,54315665.67819700,0
1680854400000,1850.78,1859.2,1843.35,1849.35,59230.4396,1680868799999,109757155.33863500,150276,29424.75930000,54525418.54926300,0
1680868800000,1849.35,1863.36,1842.7,1860.36,63311.6266,1680883199999,117360802.16358200,201609,34984.13250000,64847100.55737100,0
1680883200000,1860.36,1861.91,1851.34,1854.72,24433.8402,1680897599999,45352724.43182700,112689,11383.88690000,21130754.29278000,0
1680897600000,1854.72,1872.0,1851.23,1863.72,30719.1552,1680911999999,57221772.24376000,83274,16834.74080000,31363081.07944500,0
1680912000000,1863.73,1872.21,1854.62,1868.27,41553.0597,1680926399999,77377351.01462500,122302,20961.34750000,39038262.20039800,0
1680926400000,1868.27,1879.38,1864.02,1872.29,33882.382,1680940799999,63452028.57039000,190204,16958.91870000,31759520.20113300,0
1680940800000,1872.3,1874.5,1865.5,1867.44,24243.0664,1680955199999,45327410.55091900,180532,12589.51430000,23538963.75048300,0
1680955200000,1867.45,1871.22,1862.0,1866.89,27815.9926,1680969599999,51938708.33947900,186900,15118.46850000,28230329.81884700,0
1680969600000,1866.89,1869.47,1847.33,1854.01,42315.771,1680983999999,78640684.17791300,136813,19142.11960000,35576316.25922100,0
1680984000000,1854.01,1858.49,1847.0,1848.82,28095.269,1680998399999,52056498.27633200,86036,12442.91960000,23054995.10435100,0
1680998400000,1848.82,1859.6,1846.97,1851.78,28168.7759,1681012799999,52243901.63554500,103319,14192.56700000,26321562.45075700,0
1681012800000,1851.79,1855.62,1824.01,1835.49,69104.9312,1681027199999,126948554.00521000,209561,32290.01190000,59301869.96034500,0
1681027200000,1835.49,1840.2,1827.04,1839.22,38814.6961,1681041599999,71237149.60031300,209587,20822.73260000,38212358.66934700,0
1681041600000,1839.22,1845.53,1826.25,1837.04,48963.983,1681055999999,89877384.90412800,210752,26990.48020000,49543230.93004000,0
1681056000000,1837.05,1866.75,1836.04,1856.39,52873.5958,1681070399999,97879397.52909300,137578,27203.58640000,50355004.42965000,0
1681070400000,1856.39,1873.99,1852.72,1858.92,49205.3259,1681084799999,91692107.16608400,82661,24894.45140000,46391872.40296600,0
1681084800000,1858.91,1863.46,1846.4,1857.97,43630.9572,1681099199999,80983372.58344900,70686,22407.58340000,41595417.46257100,0
1681099200000,1857.97,1866.01,1853.62,1860.0,46796.8609,1681113599999,87008130.34774200,66483,21506.15270000,39986980.06219100,0
1681113600000,1859.99,1862.73,1855.24,1858.0,37853.0514,1681127999999,70374035.30732400,58499,19624.09480000,36482106.98183100,0
1681128000000,1857.99,1869.98,1847.18,1861.3,63729.5943,1681142399999,118357255.88600700,96323,32521.72710000,60403366.04762400,0
1681142400000,1861.3,1904.99,1857.72,1888.73,162225.6051,1681156799999,306427483.49342900,177518,81721.89060000,154331204.11245600,0
1681156800000,1888.74,1918.79,1878.16,1910.2,80503.7295,1681171199999,153062435.24499600,116775,41096.41000000,78148276.13050700,0
1681171200000,1910.21,1937.37,1907.82,1923.22,101017.0054,1681185599999,194047433.31983800,146924,55441.68910000,106498962.98570900,0
1681185600000,1923.22,1926.71,1906.25,1921.74,50406.3989,1681199999999,96741099.79341400,83947,25320.49440000,48596661.06821600,0
1681200000000,1921.73,1922.99,1910.26,1915.5,42710.6506,1681214399999,81907889.09107500,67709,20781.43000000,39855469.37659000,0
1681214400000,1915.51,1922.91,1904.0,1913.64,68745.7254,1681228799999,131575476.14140700,99757,35567.76110000,68078021.83877000,0
1681228800000,1913.63,1917.0,1891.2,1894.19,78023.9367,1681243199999,148549926.04267800,109913,37217.64470000,70854592.84719900,0
1681243200000,1894.18,1897.2,1881.11,1889.86,64299.7722,1681257599999,121567871.45752000,82277,35112.69790000,66382960.39487700,0
1681257600000,1889.86,1897.13,1852.65,1862.79,104250.2586,1681271999999,195208695.86789500,136718,52769.12240000,98773457.72988500,0
1681272000000,1862.78,1875.76,1860.32,1870.29,49509.1131,1681286399999,92434716.83647500,72238,26351.66690000,49201987.46215600,0
1681286400000,1870.3,1874.22,1864.04,1872.68,43255.2642,1681300799999,80883921.53255300,68778,20071.72620000,37534989.01632900,0
1681300800000,1872.67,1933.0,1867.05,1912.19,276763.2975,1681315199999,526824748.81391400,299143,140613.50240000,267678827.32485000,0
1681315200000,1912.18,1919.45,1893.35,1901.32,80899.4694,1681329599999,154366753.83821800,109027,38246.51740000,72989420.92902100,0
